urban,recommand,zone,desc,region,price,unitprice,age
jianye,电梯房 推窗即景 小区恒温清风系统 满二年 环境优美,朗诗国际街区北园 , | 2室1厅 | 70.04平米 | 南 | 精装 | 有电梯,奥体,330,47116,高楼层(共18层)2005年建塔楼  -  
jianye,业主诚心卖房，小区中间位置，南北通透，拎包入住。,万科光明城市西苑 , | 3室2厅 | 140.33平米 | 南 北 | 精装 | 有电梯,奥体,755,53802,中楼层(共11层)2008年建板楼  -  
jianye,应天西路庐山路苏建满五省税电梯顶跃精装,苏建豪庭 , | 4室4厅 | 198.85平米 | 南 北 | 精装,应天西路,750,37717,高楼层(共9层)板楼  -  
jianye,满二不满五，汇文科睿施教区，建邺万达集庆门大街地铁,苏宁睿城 , | 3室2厅 | 140.06平米 | 南 | 简装 | 有电梯,万达广场,714,50979,低楼层(共18层)2012年建板楼  -  
jianye,康怡花园精装修四房 满五年 双阳台 通透 居住舒适,康怡花园 , | 4室2厅 | 89.7平米 | 南 北 | 精装 | 无电梯,江东,270,30101,高楼层(共7层)1997年建板楼  -  
jianye,云锦美地中间楼层 精装修 南北通透 使用面积大,云锦美地绮云居 , | 4室2厅 | 133.17平米 | 南 北 | 精装 | 无电梯,南湖,519,38973,中楼层(共6层)2003年建板楼  -  
jianye,润花园挑高 朝东 满五年 精装修 有天燃气生活方便,润花园 , | 2室1厅 | 44.28平米 | 东 | 精装 | 有电梯,南湖,188,42458,中楼层(共16层)2008年建板楼  -  
jianye,五矿大三房 南北通透 中间楼层 采光视野无遮挡,五矿御江金城 , | 3室2厅 | 137.77平米 | 南 北 | 毛坯 | 有电梯,奥体,630,45729,中楼层(共28层)2012年建板楼  -  
jianye,河西奥体 万科物业 精装两房 高楼层视野好,滨江奥城观澜苑 , | 2室2厅 | 93.97平米 | 南 北 | 其他 | 有电梯,奥体,408,43419,高楼层(共16层)2008年建板楼  -  
jianye,彩虹苑 带地下室 两居室 户型正南湖公园 满五年省税,彩虹苑 , | 2室2厅 | 92.72平米 | 南 | 精装 | 无电梯,南湖,313,33758,高楼层(共6层)2001年建板楼  -  
jianye,金基唐城 错层 双南一北 满五 西边户  诚心出售,金基唐城 , | 3室2厅 | 110平米 | 南 北 | 其他 | 有电梯,水西门,540,49091,中楼层(共9层)2001年建板楼  -  
jianye,奥体 滨江奥城听雨苑 一房朝南一房朝北 客厅朝南,滨江奥城听雨苑 , | 2室2厅 | 86.54平米 | 南 北 | 精装 | 无电梯,奥体,415,47955,中楼层(共5层)2005年建板楼  -  
jianye,万达西地一期 精装两房 业主诚售 看房方便,万达西地一期 , | 2室1厅 | 88.55平米 | 南 北 | 其他 | 有电梯,万达广场,360,40655,高楼层(共28层)2009年建板塔结合  -  
jianye,中北品尚 满两年 清爽精装 户型通透 无遮挡 采光好,中北品尚 , | 2室2厅 | 90.15平米 | 南 北 | 精装 | 有电梯,奥体,435,48253,低楼层(共18层)2011年建板楼  -  
jianye,集庆门大街尚文东苑 南北通透三个阳台 06年商品房,尚文东苑 , | 2室2厅 | 94.69平米 | 南 北 | 其他,南苑,340,35907,中楼层(共6层)板楼  -  
jianye,奥体精装两房 满五年  高楼层 采光好,中海塞纳丽舍西苑 , | 2室2厅 | 92.1平米 | 南 北 | 精装 | 有电梯,奥体,580,62976,高楼层(共11层)2005年建板楼  -  
jianye,配套设施完善 交通便利 业主诚售,积善新寓丰勤园 , | 2室1厅 | 79.65平米 | 南 | 其他 | 无电梯,万达广场,305,38293,高楼层(共6层)2003年建板塔结合  -  
jianye,楼层好 交通便利 生活设施齐 装修好拎包住,佳和园 , | 3室1厅 | 86.68平米 | 南 北 | 精装 | 有电梯,万达广场,450,51916,高楼层(共33层)2009年建板楼  -  
jianye,莱蒙水榭春天 精装大三房 满两年,莱蒙水榭春天 , | 3室2厅 | 135.07平米 | 南 北 | 精装 | 有电梯,奥体,702,51974,中楼层(共31层)2014年建板楼  -  
jianye,华隆新寓一楼 小区中间 不临街,华隆新寓一村 , | 2室1厅 | 54.66平米 | 南 北 | 其他 | 无电梯,应天西路,180,32931,低楼层(共6层)1999年建板楼  -  
jianye,茶南仁园两居室 云锦路地铁口 水西门大街河西万达金鹰,仁园 , | 2室1厅 | 64.69平米 | 南 北 | 其他 | 无电梯,茶南,194,29990,高楼层(共7层)1997年建板塔结合  -  
jianye,茶西里 2室1厅 185万,茶西里 , | 2室1厅 | 53.61平米 | 南 北 | 其他,茶南,185,34509,中楼层(共5层)1998年建板塔结合  -  
jianye,电站村 双南两房 精装 拎包住 满二 诚心出售,电站村 , | 2室1厅 | 56.25平米 | 南 | 精装,南湖,163,28978,高楼层(共6层)1989年建板楼  -  
jianye,应天西路电梯房房龄新 采光好 满五年省税,铂领公寓 , | 2室2厅 | 92.14平米 | 南 北 | 其他 | 有电梯,南苑,296,32126,低楼层(共11层)2007年建板楼  -  
jianye,润花园 南北通透两居室 居家装修 户型正 满五年省税,润花园 , | 2室2厅 | 86.09平米 | 南 北 | 其他 | 有电梯,南湖,368,42746,中楼层(共11层)2006年建板楼  -  
jianye,南苑真园 精装修 采光好 位置好 全明户型,真园 , | 2室1厅 | 56.86平米 | 南 北 | 其他 | 无电梯,南苑,180,31657,低楼层(共7层)1996年建板楼  -  
jianye,汉中门 莫愁湖地铁 中间楼层 商品房 有物业 南北通透,汉中门大街3号 , | 3室2厅 | 102.72平米 | 南 北 | 简装 | 有电梯,汉中门大街,320,31153,中楼层(共7层)1996年建板楼  -  
jianye,河西奥体精装两房 南向 采光好 视野好 拎包入住,朗诗国际街区北园 , | 2室2厅 | 69.79平米 | 南 | 其他 | 有电梯,奥体,360,51584,低楼层(共18层)2005年建塔楼  -  
jianye,金地名京 精装修 南北通透 小区环境好,金地名京 , | 3室1厅 | 87.58平米 | 南 北 | 其他 | 有电梯,湖西街,455,51953,低楼层(共11层)2010年建板楼  -  
jianye,南湖路育英村两房 卧室双南 迎宾菜场和南湖公园都在旁,育英村 , | 2室1厅 | 56.21平米 | 南 | 其他 | 无电梯,南湖,170,30244,高楼层(共6层)1985年建板塔结合  -  
jianye,南湖 东升村 双卧朝南 大两房 采光好 南北通透 户型,东升村 , | 3室1厅 | 64平米 | 南 北 | 其他 | 无电梯,南湖,167,26094,高楼层(共6层)1991年建板楼  -  
jianye,康怡花园精装修四房 满五年 双阳台 通透 居住舒适,康怡花园 , | 4室2厅 | 89.7平米 | 南 北 | 精装 | 无电梯,江东,270,30101,高楼层(共7层)1997年建板楼  -  
jianye,金基唐城 错层 双南一北 满五 西边户  诚心出售,金基唐城 , | 3室2厅 | 110平米 | 南 北 | 其他 | 有电梯,水西门,540,49091,中楼层(共9层)2001年建板楼  -  
jianye,苏建艳阳居 3室2厅 450万,苏建艳阳居 , | 3室2厅 | 124.91平米 | 南 北 | 其他 | 有电梯,应天西路,450,36026,低楼层(共18层)2004年建板塔结合  -  
jianye,满两年 免征增值税 统一装修 交通便利 配套成熟,朗诗国际街区南园 , | 4室2厅 | 160.62平米 | 东南 西北 | 精装 | 有电梯,奥体,792,49309,低楼层(共18层)2009年建板楼  -  
jianye,金地名京 精装修 满两年 地铁房,金地名京 , | 2室2厅 | 73.86平米 | 东 西 | 精装 | 有电梯,湖西街,315,42649,中楼层(共17层)2010年建板楼  -  
jianye,白鹭花园凤栖苑 简单装修 大两房 满五年,白鹭花园凤栖苑 , | 2室1厅 | 58.25平米 | 南 | 其他 | 无电梯,湖西街,173,29700,低楼层(共7层)2000年建板塔结合  -  
jianye,润花园 时尚挑高户型 满两年 采光好 视野佳,润花园 , | 1室1厅 | 45.51平米 | 东北 | 精装 | 有电梯,南湖,182,39992,低楼层(共16层)2008年建板楼  -  
jianye,河西奥体新城青桐园 精装两房 总价低,奥体新城青桐园 , | 2室1厅 | 71.49平米 | 南 | 其他 | 有电梯,奥体,360,50357,高楼层(共18层)2011年建板楼  -  
jianye,满五年 精装修 配套完善 交通便利,欧洲城凯旋丽都花园 , | 3室2厅 | 137.43平米 | 南 北 | 其他 | 有电梯,兴隆大街,526,38275,低楼层(共18层)2005年建板楼  -  
jianye,金基汇锦国际  经典挑高两房  满两年  自己住,金基汇锦国际 , | 2室2厅 | 50.3平米 | 南 北 | 精装 | 有电梯,奥体,285,56661,低楼层(共12层)2009年建板塔结合  -  
jianye,满两年 边户 三房户型 南北通透 采光好 诚心出售,虹苑新寓三村 , | 3室1厅 | 80.3平米 | 东 南 北 | 其他 | 无电梯,应天西路,235,29266,高楼层(共7层)1996年建板楼  -  
jianye,顶楼带阁楼有独立卫生间  通风好 阁楼朝南带平台,新禧家园 , | 3室2厅 | 112.76平米 | 南 北 | 精装 | 无电梯,湖西街,347,30774,高楼层(共5层)2001年建板楼  -  
jianye,此房满五年 带16平米大院子 大三房交通便利 生活方便,安如村 , | 3室1厅 | 74.01平米 | 南 北 | 简装 | 无电梯,南苑,225,30402,低楼层(共6层)1997年建板楼  -  
jianye,莺歌苑  中间楼层  交通便利  配套齐全  看房方便,白鹭花园莺歌苑 , | 2室1厅 | 66.21平米 | 东 北 | 简装 | 无电梯,万达广场,225,33983,高楼层(共7层)2000年建板塔结合  -  
jianye,河西奥体 金基汇锦 经典挑高 采光充足 满二 刚需,金基汇锦国际 , | 2室2厅 | 50.3平米 | 南 | 精装 | 有电梯,奥体,288,57257,低楼层(共12层)2009年建板塔结合  -  
jianye,云锦美地 满五年无增值税 南湖公园旁 精装修 采光好,云锦美地聚锦苑 , | 3室2厅 | 103.94平米 | 南 北 | 精装 | 有电梯,南湖,390,37522,低楼层(共10层)2005年建板楼  -  
jianye,双南户型采光好 南北通透 工行房改房,金贸新村 , | 2室1厅 | 78.77平米 | 南 北 | 简装 | 无电梯,南湖,235,29834,中楼层(共7层)1996年建板楼  -  
jianye,星雨华府中高楼层 装修好交通方便,星雨华府 , | 3室2厅 | 150.15平米 | 南 北 | 精装 | 有电梯,万达广场,740,49285,高楼层(共18层)2011年建板塔结合  -  
jianye,大三房，湖景电梯房，东边户，装修好！,新城逸境 , | 3室2厅 | 128.25平米 | 东 南 北 | 其他 | 有电梯,水西门,600,46784,低楼层(共17层)2006年建板楼  -  
jianye,云锦美地聚锦苑 电梯大三房 无遮挡采光好 全明西边户,云锦美地聚锦苑 , | 3室2厅 | 133.74平米 | 南 北 | 其他 | 有电梯,南湖,548,40976,低楼层(共11层)2005年建板楼  -  
jianye,华润悦府，精装修 全明户型，采光无遮挡 交通便利,华润悦府 , | 4室2厅 | 290.83平米 | 南 北 | 精装 | 有电梯,湖西街,1680,57766,低楼层(共26层)2014年建板塔结合  -  
jianye,此房满五年，双南，采光充足，距离2号线云锦路站604米,露园 , | 2室1厅 | 63.93平米 | 南 | 其他 | 无电梯,茶南,172,26905,高楼层(共6层)1994年建板楼  -  
jianye,应天大街 城西纺织公寓 精装修 南北通透 采光好,城西纺织公寓 , | 2室1厅 | 63.64平米 | 南 北 | 精装 | 无电梯,应天西路,230,36141,低楼层(共7层)1999年建板楼  -  
jianye,建盛丽庭 茶南商圈 西边户 低楼层 精装修三房,建盛丽庭 , | 3室2厅 | 121.84平米 | 南 北 | 其他 | 无电梯,茶南,390,32010,低楼层(共6层)2003年建板楼  -  
jianye,中和园在售顶跃 居家装修 四房两卫,中和园 , | 4室2厅 | 119.92平米 | 南 | 精装 | 有电梯,奥体,380,31688,高楼层(共18层)2008年建板楼  -  
jianye,茶南湖西街天湖园两居室 云锦路地铁口 河西万达金鹰旁,天湖园 , | 2室1厅 | 55.5平米 | 南 北 | 其他 | 无电梯,南湖,165,29730,低楼层(共7层)2000年建板塔结合  -  
jianye,爱达花园 已出新 带车位和地下室 三卧朝南的东边户,爱达花园紫藤园 , | 7室2厅 | 191.28平米 | 东 南 北 | 其他 | 无电梯,应天西路,460,24049,高楼层(共6层)2003年建板楼  -  
jianye,河西中部 中间楼层 小三房 采光充足 实用性强业主诚售,怡康新寓 , | 3室1厅 | 76.77平米 | 南 北 | 简装 | 无电梯,应天西路,270,35170,中楼层(共6层)2001年建板楼  -  
jianye,典雅居宽敞大四房，精装修大露台，直接入住,典雅居 , | 4室2厅 | 124.05平米 | 南 北 | 精装 | 无电梯,万达广场,540,43531,高楼层(共6层)2000年建板塔结合  -  
jianye,精装大平层 高楼层视野开阔 带有观光电梯 楼间距宽敞,宋都美域锦园 , | 5室3厅 | 183.4平米 | 南 北 | 精装 | 有电梯,奥体,1200,65431,高楼层(共17层)2008年建板楼  -  
jianye,招商雍华府 楼层好 采光好 精装修,招商雍华府 , | 2室2厅 | 98.08平米 | 南 | 其他,应天西路,518,52815,低楼层(共31层)2015年建板楼  -  
jianye,美丽嘉园 精装修 送露台 满五年无个税 南北通透不临街,美丽嘉园 , | 5室2厅 | 175.26平米 | 南 北 | 其他 | 无电梯,兴隆大街,580,33094,高楼层(共6层)2002年建板楼  -  
jianye,凯旋丽都 精装 小区中间位置 好楼层 兴隆大街地铁,欧洲城凯旋丽都花园 , | 2室2厅 | 94.84平米 | 南 | 精装 | 有电梯,兴隆大街,420,44286,高楼层(共18层)2005年建板楼  -  
jianye,奥体新城青桐园 边户江景房 精装 业主诚售,奥体新城青桐园 , | 3室1厅 | 136.1平米 | 南 西 北 | 精装,奥体,700,51433,高楼层(共18层)2011年建板楼  -  
jianye,奥南  婚装三房保养好 高楼层 视野开阔 拎包入住,金穗花园 , | 3室1厅 | 91.35平米 | 南 | 其他 | 有电梯,奥体,270,29557,中楼层(共34层)2012年建板塔结合  -  
jianye,精装修 满五年 业主诚心出售 、小区环境好,金地名京 , | 1室1厅 | 70.88平米 | 东 南 | 其他 | 有电梯,湖西街,270,38093,低楼层(共17层)2010年建板楼  -  
jianye,交通配套齐全 满五年 拎包入住户型好 采光不挡 楼层好,兴隆新寓兴宏园 , | 2室1厅 | 74.97平米 | 南 北 | 简装 | 无电梯,兴隆大街,296,39483,中楼层(共7层)2000年建板楼  -  
jianye,新上金贸新村 精装修三房两厅 东边户 满五年 环境好,金贸新村 , | 3室2厅 | 99.38平米 | 东 南 北 | 其他 | 无电梯,南湖,340,34213,低楼层(共7层)1998年建板楼  -  
jianye,楼层采光好 双卧朝南 满五年 配套成熟 诚心出售,真园 , | 2室1厅 | 65.26平米 | 南 北 | 其他 | 无电梯,南苑,199,30494,中楼层(共7层)1996年建板楼  -  
jianye,湖心花园 两房 拎包住 满二 省税 诚心出售 大阳台,湖心花园 , | 2室2厅 | 83.68平米 | 南 北 | 精装 | 无电梯,水西门,268,32027,中楼层(共7层)1999年建板楼  -  
jianye,满五年只有一套 小区中间 精装修 采光很好 园林式小区,云锦美地汇锦苑 , | 3室2厅 | 103.99平米 | 南 北 | 其他 | 有电梯,南湖,450,43274,中楼层(共11层)2006年建板楼  -  
jianye,河西 奥体 万达 长江 南北通透 配套成熟 基本未住,滨江奥城观澜苑 , | 3室2厅 | 142.66平米 | 南 北 | 精装 | 有电梯,奥体,580,40657,高楼层(共16层)2008年建板楼  -  
jianye,奥体中北品尚 楼层好 视野佳 临地铁,中北品尚 , | 2室2厅 | 108.53平米 | 南 北 | 简装 | 有电梯,奥体,510,46992,中楼层(共18层)2011年建板楼  -  
jianye,河西汉中门大街 康怡花园 精装修三室 满二年,康怡花园 , | 3室2厅 | 96.67平米 | 南 北 | 精装 | 无电梯,江东,278,28758,高楼层(共7层)1997年建板楼  -  
jianye,莫愁湖 秦淮河畔东边户  婚装近地铁,莫愁湖东路 , | 2室1厅 | 71.16平米 | 南 北 | 精装 | 无电梯,水西门,210,29511,高楼层(共6层)1983年建板楼  -  
jianye,积善新寓 精装中间楼层 双卧朝南 小区中间,积善新寓睦和园 , | 2室2厅 | 78.99平米 | 南 北 | 精装 | 无电梯,万达广场,300,37980,低楼层(共7层)2003年建板塔结合  -  
jianye,奥体 保利精装大三房 楼层好视野开阔采光充足 带地暖,保利香槟国际 , | 3室1厅 | 121.52平米 | 东 南 北 | 精装 | 有电梯,奥体,615,50609,高楼层(共18层)2013年建板楼  -  
jianye,双卧朝南 低楼层 简装修 怡康新寓,怡康新寓 , | 2室1厅 | 54.04平米 | 南 北 | 简装 | 无电梯,应天西路,190,35160,中楼层(共6层)2000年建板楼  -  
jianye,河西奥体 万达华府 户型方正 施教区 业主诚售,万达华府西苑 , | 2室2厅 | 85.52平米 | 南 | 精装 | 有电梯,奥体,500,58466,中楼层(共11层)2006年建板楼  -  
jianye,奥体新城清竹园 采光没有遮挡 客厅带阳台 有露台,奥体新城清竹园 , | 5室2厅 | 181.03平米 | 南 北 | 精装 | 无电梯,奥体,770,42535,高楼层(共5层)2005年建板楼  -  
jianye,河西奥体中北品尚方正两房 满两年 品牌万科物业,中北品尚 , | 2室2厅 | 88.56平米 | 南 北 | 简装 | 有电梯,奥体,425,47991,高楼层(共17层)2011年建板楼  -  
jianye,河西汉中门大街 康怡花园 精装修三室 满二年,康怡花园 , | 3室2厅 | 96.67平米 | 南 北 | 精装 | 无电梯,江东,278,28758,高楼层(共7层)1997年建板楼  -  
jianye,此房双南户型 精装修 西边户 采光好 看房方便交通便利,兆园 , | 2室1厅 | 67.02平米 | 南 西 北 | 精装 | 无电梯,茶南,188,28052,高楼层(共6层)1992年建板楼  -  
jianye,满五年  精装修 中间楼层  大两房 有租赁车位,吉庆家园仲夏苑 , | 2室1厅 | 88.44平米 | 西南 | 精装 | 无电梯,南苑,290,32791,中楼层(共6层)2003年建板楼  -  
jianye,彩虹苑三期 东边户 中间楼层 南北通透 满五年,彩虹苑 , | 3室1厅 | 105.66平米 | 南 北 | 简装 | 无电梯,南湖,345,32652,中楼层(共6层)2001年建板楼  -  
jianye,康怡花园 商品房 3房2厅 汉中门大街 距地铁口600余米,康怡花园 , | 3室2厅 | 105.96平米 | 南 北 | 简装 | 无电梯,江东,330,31144,中楼层(共6层)1997年建板楼  -  
jianye,万科稀有小三房 总价低 南北通透 新城双学去,万科光明城市西苑 , | 3室1厅 | 112.04平米 | 南 北 | 简装 | 有电梯,奥体,595,53107,低楼层(共18层)2008年建板楼  -  
jianye,典雅居大三房 繁华地段 中间楼层 采光充足,典雅居 , | 3室2厅 | 147.47平米 | 南 北 | 简装 | 有电梯,万达广场,480,32549,中楼层(共11层)2000年建板塔结合  -  
jianye,精装修 电梯房 4.9米挑高 民水民电 交通方便,新城逸境 , | 1室1厅 | 33.27平米 | 南 北 | 其他 | 有电梯,水西门,193,58011,中楼层(共7层)2006年建板楼  -  
jianye,南苑开园大三房 双卧朝南户型好 有租赁车位,开园 , | 3室1厅 | 77.4平米 | 南 | 其他 | 无电梯,南苑,220,28424,高楼层(共7层)1998年建板楼  -  
jianye,汉中门大街 采光充足 居住舒适 满五唯一 双卧朝南,玉兰里 , | 2室1厅 | 59.03平米 | 南 | 其他 | 无电梯,水西门,170,28799,高楼层(共5层)1990年建板楼  -  
jianye,河西奥体 三房 采光无遮挡 全明户型,金基汇锦国际 , | 3室2厅 | 122.17平米 | 南 | 其他 | 有电梯,奥体,537,43956,高楼层(共20层)2009年建板楼  -  
jianye,满五年 简单装修 有钥匙随时看 双南户型,仁园 , | 2室1厅 | 49.91平米 | 南 北 | 其他 | 无电梯,茶南,142,28452,高楼层(共6层)1996年建板塔结合  -  
jianye,婚装房，南北通透，采光好，出行便利,健园 , | 2室1厅 | 51.24平米 | 南 北 | 其他 | 无电梯,南苑,135,26347,高楼层(共7层)1996年建板楼  -  
jianye,满五年唯一 南北通透 全明户型 采光不挡 居家简装,虹苑新寓二村 , | 1室1厅 | 41.82平米 | 南 北 | 其他 | 无电梯,应天西路,134,32043,低楼层(共7层)1996年建板楼  -  
jianye,满五年 正规电梯顶跃  生活交通便利 采光充足,新百花园 , | 5室2厅 | 225.96平米 | 南 北 | 其他 | 有电梯,应天西路,672,29740,高楼层(共19层)2006年建板楼  -  
jianye,河西奥体 新城双施教 顶楼跃层 满五年省税,怡康新寓 , | 5室2厅 | 155.78平米 | 南 北 | 其他 | 无电梯,应天西路,425,27283,高楼层(共6层)2004年建板楼  -  
jianye,彩虹苑 3开间朝南 顶楼带阁楼 有阳光房 使用面积大,彩虹苑 , | 6室2厅 | 133.77平米 | 南 北 | 简装 | 无电梯,南湖,410,30650,高楼层(共7层)2000年建板楼  -  
jianye,河西 凤凰和熙 大面积 顶跃 精装修 东边户 采光好,凤凰和熙一期 , | 4室2厅 | 218.76平米 | 南 北 | 精装 | 有电梯,应天西路,998,45621,高楼层(共18层)2009年建板楼  -  
jianye,奥体 月安花园精装四房 采光可以 万科的物业,月安花园邀月居 , | 4室2厅 | 151.08平米 | 东 南 | 精装 | 无电梯,奥体,630,41700,低楼层(共6层)2004年建板塔结合  -  
jianye,金马郦城 3室3厅1厨2卫 居家装修 四跃五 实际140多平,金马郦城西区 , | 3室3厅 | 84.74平米 | 南 北 | 精装 | 无电梯,奥体,485,57234,高楼层(共4层)2006年建板楼  -  
jianye,江南名府五楼跃层采光好，户型方正，配套成熟交通便利,江南名府 , | 4室2厅 | 143.74平米 | 南 北 | 其他 | 无电梯,应天西路,450,31307,高楼层(共5层)2003年建板楼  -  
jianye,河西奥体 青桐园 精装两房 楼层好 采光棒 两房朝南,奥体新城青桐园 , | 2室1厅 | 90.31平米 | 南 | 精装 | 有电梯,奥体,435,48168,高楼层(共18层)2011年建板楼  -  
jianye,南北通透 交通便利 采光充足 配套齐全,金地名京 , | 6室1厅 | 159.15平米 | 南 北 | 毛坯 | 有电梯,湖西街,770,48383,高楼层(共11层)2010年建板楼  -  
jianye,融侨一期四房，南北通透，顶楼采光好，视野开阔。,融侨中央花园1期 , | 4室2厅 | 191.29平米 | 南 北 | 毛坯 | 有电梯,奥体,920,48095,高楼层(共18层)2009年建板楼  -  
jianye,南北通透 交通便利 采光充足 配套齐全,金地名京 , | 6室1厅 | 159.15平米 | 南 北 | 毛坯 | 有电梯,湖西街,770,48383,高楼层(共11层)2010年建板楼  -  
jianye,满五年 正规电梯顶跃  生活交通便利 采光充足,新百花园 , | 5室2厅 | 225.96平米 | 南 北 | 其他 | 有电梯,应天西路,672,29740,高楼层(共19层)2006年建板楼  -  
jianye,茶南大街 明清园 顶楼带阁楼 居家装修 云锦路地铁口,露园 , | 2室1厅 | 61.39平米 | 南 北 | 其他 | 无电梯,茶南,185,30136,高楼层(共6层)2000年建板楼  -  
jianye,茶南明园小区 采光充足 南北通透 户型方正,明园 , | 2室1厅 | 51.33平米 | 南 北 | 简装 | 无电梯,茶南,160,31171,高楼层(共6层)1996年建板楼  -  
jianye,白鹭花园莺歌苑 楼层低 采光充足,白鹭花园莺歌苑 , | 3室2厅 | 123.38平米 | 南 北 | 其他 | 无电梯,万达广场,365,29584,低楼层(共6层)2000年建板塔结合  -  
jianye,满五年省税 四楼采光好 13年的装修 保养好,安泰村 , | 2室1厅 | 55.35平米 | 西北 | 其他 | 无电梯,南苑,163,29449,中楼层(共6层)1996年建板楼  -  
jianye,奥体兴宏园 低总价两房 精装修 满两年 近地铁配套成熟,兴隆新寓兴宏园 , | 2室1厅 | 39.36平米 | 南 | 精装 | 无电梯,兴隆大街,175,44462,高楼层(共7层)2000年建板楼  -  
jianye,改善三房 南北通透 双卧朝南 户型很舒适,开园 , | 3室1厅 | 75.16平米 | 南 北 | 简装 | 无电梯,南苑,216,28739,高楼层(共7层)1998年建板楼  -  
jianye,金贸新村工商银行房改房 南北通透 两房朝南 小区安静,金贸新村 , | 2室2厅 | 78.78平米 | 南 北 | 简装 | 无电梯,南湖,245,31100,中楼层(共7层)1996年建板楼  -  
jianye,金马郦城 1室2厅1厨1卫 主卧南北通透 带阳台 电梯 钥,金马郦城西区 , | 1室2厅 | 67.57平米 | 南 北 | 精装 | 有电梯,奥体,220,32559,中楼层(共5层)2009年建板楼  -  
jianye,和府奥园 精装 两房 满两年 无遮挡 诚售,和府奥园 , | 2室2厅 | 83.3平米 | 南 北 | 其他 | 有电梯,奥体,410,49220,低楼层(共16层)2014年建板楼  -  
jianye,河西奥体 绿博园东 品质小区 南北通透,五矿御江金城 , | 3室2厅 | 138.18平米 | 南 北 | 其他 | 有电梯,奥体,660,47764,低楼层(共28层)2012年建板楼  -  
jianye,河西奥体 月安花园 万科物业 有储藏室和车位 14年装修,月安花园邀月居 , | 3室2厅 | 126.9平米 | 南 北 | 其他 | 无电梯,奥体,555,43736,中楼层(共6层)2004年建板塔结合  -  
jianye,茶南拓园小区 采光不当 交通生活方便,拓园 , | 2室1厅 | 57.65平米 | 南 | 其他 | 无电梯,茶南,182,31570,高楼层(共6层)1993年建板楼  -  
jianye,台园 2室1厅 175万,台园 , | 2室1厅 | 61.4平米 | 南 北 | 其他 | 无电梯,南苑,175,28502,高楼层(共6层)1994年建板楼  -  
jianye,云锦美地 栖霞建设 小区中间 电梯四房 采光好,云锦美地汇锦苑 , | 3室2厅 | 134.82平米 | 南 北 | 其他 | 有电梯,南湖,580,43021,中楼层(共11层)2006年建板楼  -  
jianye,奥体 万科精装两房 中间楼层 南北通透 满两年,万科光明城市西苑 , | 2室1厅 | 89.22平米 | 南 北 | 其他 | 有电梯,奥体,530,59404,中楼层(共11层)2008年建板楼  -  
jianye,云锦路地铁口 茶花里 二年前婚装 拎包即住,茶花里 , | 3室1厅 | 98.26平米 | 南 北 | 其他 | 无电梯,茶南,300,30532,高楼层(共7层)1994年建板楼  -  
jianye,雅居乐物业，精装三房，三卧朝南，高楼层，采光充足,紫鑫中华广场 , | 3室2厅 | 139.11平米 | 南 北 | 精装 | 有电梯,兴隆大街,626,45001,中楼层(共31层)2005年建板楼  -  
jianye,奥体开发商精装 三房 户型方正 精装保养好可拎包住,嘉业国际城 , | 3室1厅 | 151.95平米 | 南 北 | 精装 | 有电梯,奥体,599,39421,中楼层(共28层)2008年建塔楼  -  
jianye,河西奥体 五矿全明两房 采光不遮挡,五矿御江金城 , | 2室1厅 | 89.77平米 | 南 | 其他 | 有电梯,奥体,458,51020,高楼层(共24层)2012年建板楼  -  
jianye,河西金鹰新城分校虹苑新寓五村满五年唯一双南一北边户,虹苑新寓五村 , | 3室2厅 | 88.35平米 | 南 | 其他 | 无电梯,应天西路,260,29429,高楼层(共7层)1998年建板楼  -  
jianye,兴隆大街地铁口 凤凰和熙 精装修 电梯改善三房 诚售,凤凰和熙一期 , | 3室2厅 | 131.97平米 | 南 北 | 精装 | 有电梯,应天西路,710,53801,中楼层(共18层)2009年建板楼  -  
jianye,爱达花园兰花园 精装两房 南北通透 采光好 户型好,爱达花园兰花园 , | 2室1厅 | 63.96平米 | 南 北 | 其他 | 无电梯,应天西路,179,27987,高楼层(共7层)1995年建板楼  -  
jianye,万达西地二期 户型好 装修好 交通便利 拎包入住,万达西地二期 , | 3室2厅 | 115.42平米 | 南 | 其他 | 有电梯,万达广场,515,44620,低楼层(共28层)2009年建板塔结合  -  
jianye,观澜苑 满五 南北通透 采光佳 户型改动现在是四房,滨江奥城观澜苑 , | 3室2厅 | 151.81平米 | 南 北 | 精装 | 有电梯,奥体,607,39985,中楼层(共19层)2008年建板楼  -  
jianye,双卧朝南 大两房 精装修 中间楼层 采光好,汉中门大街 , | 2室1厅 | 98.07平米 | 南 北 | 其他 | 有电梯,汉中门大街,350,35689,中楼层(共8层)2000年建板楼  -  
jianye,应天大街新城施教区双南双北居家两房满五年省税采光好,虹苑新寓四村 , | 2室1厅 | 61.5平米 | 南 北 | 简装 | 无电梯,应天西路,175,28456,高楼层(共7层)1998年建板楼  -  
jianye,此房满五年不唯一住房，没有增值税，南北户型，采光好,露园 , | 3室1厅 | 80.34平米 | 南 北 | 其他 | 无电梯,茶南,250,31118,中楼层(共6层)1994年建板楼  -  
jianye,满两年 精装修 拎包入住 全明通透 尖顶  采光好,安国村 , | 2室1厅 | 58.6平米 | 南 北 | 精装 | 无电梯,南苑,166,28328,高楼层(共6层)1988年建板塔结合  -  
